ID,Semantic Category
211990161,tops
183179503,bottoms
152771755,jewellery
190445143,bottoms
211444470,bottoms
192704091,shoes
149817672,tops
210309753,jewellery
182043322,tops
184924381,tops
195532901,bottoms
117427809,tops
166872904,jewellery
203116108,shoes
171008680,jewellery
188733069,tops
126515743,jewellery
186722641,shoes
171099609,shoes
127357972,shoes
108734944,shoes
193560014,bottoms
156931171,bottoms
211479412,shoes
120593926,shoes
149701046,jewellery
73393340,shoes
123959447,bottoms
210638346,shoes
67209791,tops
73297798,tops
155741603,shoes
205964765,shoes
202035731,shoes
200468110,tops
199698943,shoes
184214642,jewellery
184518639,bottoms
163826729,jewellery
192874913,bottoms
21586414,tops
158676905,shoes
120201295,tops
146832687,shoes
211197258,jewellery
110870208,jewellery
142458783,bottoms
148061828,shoes
154119451,shoes
167674277,jewellery
211498364,shoes
196734996,shoes
165949863,bottoms
153558318,shoes
207649566,tops
214322712,shoes
104756884,tops
184465652,shoes
162156634,tops
150410679,tops
122806752,tops
119675801,tops
194373066,shoes
196295484,bottoms
207135122,jewellery
214431203,jewellery
95982716,jewellery
161407750,jewellery
151252054,accessories
156849949,jewellery
202274141,jewellery
161857239,tops
122004993,jewellery
139785717,shoes
189054847,jewellery
184519587,jewellery
172407575,shoes
201543267,tops
150645072,shoes
211541859,bottoms
196299867,shoes
134454029,bottoms
181997163,jewellery
152086274,shoes
57509686,bottoms
212829886,bottoms
139993623,shoes
203416885,tops
184411930,jewellery
85450752,bottoms
18929854,shoes
205826152,shoes
129522778,bottoms
166323070,accessories
115473139,bottoms
186628527,jewellery
130455954,jewellery
208594689,bottoms
141145781,shoes
164686322,bottoms
171250576,tops
96066726,accessories
169072073,tops
76970617,shoes
209137157,bottoms
186882653,shoes
133880116,tops
137340654,tops
166413572,shoes
145309925,shoes
213056962,tops
29065950,accessories
210571670,tops
117964006,shoes
155081440,tops
133638266,bottoms
192226220,shoes
179955510,jewellery
104132384,jewellery
163725637,shoes
52152773,jewellery
135146030,bottoms
213072198,shoes
85312382,shoes
133580082,jewellery
166968566,jewellery
214833008,jewellery
200849258,tops
212838763,jewellery
40156103,jewellery
210993898,jewellery
208263363,tops
53619608,tops
139036409,bottoms
181139646,tops
209326680,jewellery
203178620,bottoms
207677485,bottoms
138767739,shoes
180814872,shoes
211125282,tops
188788592,jewellery
165614655,jewellery
181148802,tops
210373455,shoes
211940140,tops
145545629,tops
183908769,jewellery
107150449,shoes
145162249,shoes
192874148,jewellery
141701993,shoes
186314565,bottoms
193921747,jewellery
144876590,shoes
138665878,jewellery
106715340,jewellery
179987818,jewellery
62580048,bottoms
81578773,jewellery
156951305,jewellery
188292449,shoes
76923338,tops
31806675,shoes
86782011,tops
208673471,tops
154210838,shoes
187958717,jewellery
161015973,bottoms
149758823,shoes
194139809,bottoms
203858452,shoes
139309947,bottoms
185059288,bottoms
210715845,tops
171696092,bottoms
119132726,jewellery
189401796,tops
197923351,tops
185288593,tops
200781998,bottoms
130160382,jewellery
115125821,shoes
204877189,jewellery
184727702,shoes
148808167,tops
196114251,shoes
87972005,jewellery
57062400,bottoms
157021753,jewellery
184057573,shoes
166332457,shoes
105076717,shoes
195791765,shoes
65573946,jewellery
154543331,jewellery
147245275,jewellery
115400707,tops
174788253,shoes
170510151,tops
188102789,shoes
185205999,jewellery
74330446,bottoms
200210294,jewellery
16074819,bottoms
147436851,tops
206948559,tops
130390168,shoes
112230639,bottoms
115642502,tops
207095268,tops
103930974,jewellery
193512459,shoes
53582208,tops
118090082,tops
179114221,tops
144412101,bottoms
97786114,tops
171309538,tops
151752674,jewellery
90046103,jewellery
184767006,jewellery
201658317,shoes
148015461,shoes
193806282,accessories
125474925,tops
210962988,shoes
142025642,shoes
166234836,bottoms
141899017,shoes
82598863,jewellery
165212882,shoes
178325328,bottoms
208988800,shoes
205908506,shoes
205908507,shoes
96757365,jewellery
204306656,tops
201469099,shoes
147822833,jewellery
167972360,jewellery
152301190,tops
195946605,bottoms
195464459,shoes
200386360,jewellery
200036876,jewellery
122575373,jewellery
212781443,tops
140369478,bottoms
212496033,jewellery
105730886,shoes
167046959,bottoms
191616356,jewellery
157007467,jewellery
147376124,bottoms
66769230,jewellery
173677969,bottoms
209795018,shoes
202080412,jewellery
110415666,bottoms
164628091,jewellery
208318770,shoes
205193200,bottoms
210760747,shoes
190145344,shoes
164196641,jewellery
128087852,jewellery
151837350,jewellery
49410734,tops
198656594,bottoms
113517677,shoes
129876955,shoes
184090616,tops
170485200,bottoms
161483519,bottoms
195352601,shoes
181068856,bottoms
55355667,shoes
187249474,jewellery
210358075,bottoms
173297534,jewellery
106247763,jewellery
196158534,bottoms
195629074,accessories
214694397,tops
168635587,jewellery
166906907,jewellery
154227978,jewellery
173236882,bottoms
165097605,tops
204716273,bottoms
204624812,shoes
210111599,tops
180505268,bottoms
191972019,shoes
214288874,jewellery
211528412,tops
98143357,bottoms
178270710,shoes
212889617,shoes
195020230,shoes
155167019,jewellery
144905652,tops
154785182,jewellery
116372058,tops
209156255,jewellery
146356864,shoes
129606048,jewellery
180044790,jewellery
186684049,tops
144744853,shoes
207023189,bottoms
207864942,jewellery
146383557,shoes
144929194,shoes
130603135,jewellery
80102901,bottoms
162140849,jewellery
153016015,jewellery
213412278,jewellery
197262613,tops
148338453,bottoms
140397284,tops
76216316,bottoms
194898393,tops
76216315,tops
203979464,bottoms
182018153,shoes
206335337,tops
142288738,jewellery
120090077,jewellery
211994847,accessories
27863091,jewellery
152788468,tops
192285263,shoes
204328732,bottoms
199527738,jewellery
210570556,shoes
213362656,jewellery
21961020,tops
74987451,tops
197843323,shoes
191143404,accessories
67087194,accessories
112857059,bottoms
193109885,accessories
125583824,bottoms
182691178,shoes
165762987,jewellery
46901149,accessories
184073094,tops
170608370,jewellery
144433739,shoes
179657758,bottoms
121099166,accessories
173980655,jewellery
204618638,jewellery
213286631,tops
210772903,shoes
188041454,tops
136880222,shoes
189884355,shoes
136262897,jewellery
169000843,shoes
203253151,shoes
170450656,jewellery
164839559,jewellery
209885519,jewellery
185759188,jewellery
115597688,tops
116973490,bottoms
164788321,bottoms
134183235,jewellery
196165817,tops
178984896,bottoms
203133236,bottoms
145471624,tops
45746509,bottoms
50260850,tops
177798830,tops
27869822,jewellery
172302799,bottoms
155017018,shoes
139951865,bottoms
163804576,tops
204887631,jewellery
134524643,shoes
214784610,accessories
45933521,jewellery
153293244,jewellery
109291700,shoes
113974784,shoes
32064259,bottoms
129064042,tops
206616694,bottoms
135996572,jewellery
178276858,bottoms
204247331,shoes
179874302,bottoms
137158643,shoes
152966823,tops
160670374,shoes
71931385,jewellery
203679314,bottoms
180202447,bottoms
193616808,shoes
206550060,tops
176146597,tops
121918140,tops
150971917,tops
202144728,tops
156840733,jewellery
186937355,shoes
110543616,jewellery
52553974,accessories
195790110,tops
