tops,bottoms,shoes,accessories
200313980.0,204650506.0,156489567.0,148693800.0
209505560.0,200639682.0,161950492.0,50235496.0
105272244.0,109094680.0,97417141.0,106852706.0
166854109.0,161519632.0,160420622.0,171281331.0
110772473.0,102648117.0,107333685.0,126953299.0
71364041.0,74928659.0,77419985.0,74091674.0
163611974.0,196152886.0,210549707.0,191401906.0
49731646.0,69505674.0,70510470.0,62410442.0
132043223.0,198174448.0,200951415.0,201060580.0
202762250.0,202746163.0,200097584.0,182854983.0
206218690.0,211023042.0,199745873.0,204334536.0
101135627.0,195873414.0,162996731.0,117877491.0
86501326.0,74795250.0,84730890.0,82688651.0
133699927.0,125839745.0,136121706.0,134058593.0
214212109.0,208386465.0,202833251.0,207621902.0
155323199.0,193729188.0,195904697.0,179809104.0
209167110.0,207065275.0,202087527.0,210275902.0
208961514.0,4955823.0,156536547.0,176458566.0
196719615.0,211444470.0,193621646.0,204033268.0
202864299.0,154039479.0,166997029.0,203186097.0
201905785.0,201513184.0,204562944.0,197734251.0
95798658.0,110098479.0,114200774.0,79777747.0
140963406.0,198631340.0,186549940.0,199982662.0
90755547.0,20198258.0,89666962.0,71331177.0
195541242.0,202251630.0,149821228.0,190314312.0
207343430.0,207341373.0,204178124.0,207345924.0
205488350.0,205140325.0,205491209.0,207606056.0
175742886.0,169159820.0,176976290.0,166918126.0
208650872.0,200293281.0,207016676.0,131546657.0
176456914.0,169945818.0,203564214.0,208018949.0
112003459.0,104665298.0,161953860.0,174610981.0
115763303.0,36421246.0,123788654.0,126762762.0
111549694.0,30059467.0,184247605.0,166623179.0
167253359.0,149573025.0,155595163.0,165119394.0
199180780.0,149646038.0,140054521.0,195738464.0
206032405.0,195500873.0,206033015.0,204721492.0
155720725.0,191592910.0,162680620.0,166175236.0
139817533.0,159648371.0,151717774.0,122185371.0
165010037.0,176961017.0,165918188.0,200662456.0
201615691.0,197967466.0,204379982.0,182444027.0
204641111.0,202324482.0,201941156.0,200811765.0
93012794.0,111949710.0,115201200.0,110789206.0
174589013.0,175119477.0,162736113.0,143697682.0
180382740.0,163529278.0,180312916.0,158205267.0
204121640.0,199082383.0,205456992.0,206507881.0
161101869.0,129096070.0,151553296.0,162171542.0
133393155.0,133351152.0,135662463.0,133086355.0
115774485.0,118615618.0,120161019.0,119825344.0
166336228.0,184225938.0,183171537.0,184913106.0
203979927.0,207485220.0,206885929.0,209611586.0
168955377.0,169662939.0,162300401.0,172447802.0
145030777.0,154367235.0,148323173.0,150429136.0
199611398.0,206069555.0,181692868.0,179802552.0
184741445.0,191228371.0,170825264.0,182762792.0
179225268.0,164678502.0,183279332.0,166629711.0
200750356.0,193895816.0,202015313.0,197748649.0
211214820.0,202373524.0,211403494.0,211495365.0
214575593.0,215210814.0,213085983.0,207621412.0
210204459.0,209990547.0,202742350.0,191290997.0
116235474.0,171810432.0,90002016.0,32941994.0
176988038.0,213458656.0,214329063.0,116201835.0
202096005.0,204076750.0,207097776.0,210182632.0
118983947.0,79362031.0,119726709.0,103834709.0
207266204.0,209681793.0,212380449.0,195536621.0
100062122.0,123084094.0,132957109.0,59528383.0
183609068.0,2221837.0,185998632.0,186005760.0
204856432.0,172300790.0,162890604.0,204481320.0
210094431.0,143853730.0,134541468.0,173152279.0
204281117.0,208606052.0,179902754.0,161257584.0
183077401.0,181732574.0,176682288.0,176773631.0
105304723.0,102925954.0,103931815.0,103516266.0
158077199.0,133212981.0,113790430.0,193722885.0
93499710.0,96602575.0,94963440.0,81814254.0
176698385.0,176698795.0,176699063.0,171796345.0
203913756.0,202114084.0,204134261.0,209761695.0
197594854.0,197595064.0,197595689.0,192970451.0
208674006.0,209194647.0,209988175.0,212844190.0
210966835.0,212088438.0,166040641.0,214256367.0
181446204.0,169990738.0,181287431.0,181661838.0
81225565.0,154631675.0,154081542.0,146595605.0
190641930.0,173677969.0,208944822.0,156129525.0
168359987.0,172349525.0,162139427.0,168785007.0
166285954.0,174101507.0,190980199.0,212761402.0
136855907.0,126146375.0,130031613.0,136279651.0
168571611.0,171142714.0,173221745.0,176317729.0
36270033.0,33912340.0,32455935.0,33543651.0
59585258.0,58403822.0,78537997.0,81525324.0
213302823.0,209917762.0,209241357.0,211463556.0
70963303.0,108278603.0,102682879.0,43338782.0
154907890.0,160829392.0,163839314.0,146384660.0
98124631.0,120746701.0,65215154.0,119176201.0
167250075.0,147079037.0,170906364.0,168748685.0
191570909.0,197197834.0,194256050.0,201436222.0
202109609.0,191884664.0,211362020.0,208559848.0
212356281.0,209808819.0,208468550.0,209734699.0
203499362.0,167273244.0,173613495.0,172528879.0
163669039.0,188161594.0,193146341.0,183378741.0
210384275.0,209375418.0,211462903.0,211699006.0
197316325.0,171810432.0,177991519.0,191851785.0
64378415.0,65019071.0,61044212.0,66435533.0
157025204.0,164592988.0,144648651.0,147960234.0
96235772.0,91904500.0,96376248.0,76653430.0
209939239.0,209951951.0,207133645.0,202021646.0
203540307.0,202565934.0,213174015.0,207897093.0
154034937.0,148111453.0,129050498.0,137875281.0
177531304.0,178304271.0,167200229.0,176302453.0
49388158.0,29538257.0,55752255.0,45625150.0
210769606.0,192969187.0,203010475.0,206505311.0
148404686.0,185731878.0,189262880.0,171439338.0
206757346.0,203929823.0,206758207.0,205604216.0
197318778.0,206162078.0,202061415.0,203772593.0
76722328.0,76069059.0,76023773.0,84926133.0
140143990.0,139132772.0,139957011.0,137895003.0
152458139.0,193474643.0,159313391.0,190375012.0
180795071.0,175827953.0,181000939.0,167657528.0
179109789.0,177648624.0,202008513.0,89456717.0
157030281.0,100980181.0,113532463.0,141078686.0
178294087.0,179044604.0,177806610.0,179064472.0
82759570.0,84122918.0,41830834.0,94735279.0
39557488.0,77849196.0,96841275.0,106651758.0
123849322.0,61280283.0,118983952.0,125561073.0
204159228.0,204176097.0,204175918.0,204176947.0
180531022.0,179916410.0,165071587.0,148724772.0
188111924.0,178839117.0,182619108.0,148623786.0
50630883.0,49430801.0,51654814.0,50803581.0
197770787.0,194639115.0,196757300.0,163558722.0
